,CRUISE6," ""CRUISE"""," ""STRATUM"""," ""TOW"""," ""STATION"""," ""STATUS_CODE"""," ""ID"""," ""SVSPP"""," ""CATCHSEX"""," ""EXPCATCHNUM"""," ""EXPCATCHWT"""," ""SCIENTIFIC_NAME"""," ""CATCH_COMMENT"""
0,199201,9201,3410,1,38,10,1.99201e+17,33,0,1.0,0.2,Alosa pseudoharengus (alewife), 
1,199201,9201,3380,1,39,10,1.99201e+17,33,0,4.0,0.7,Alosa pseudoharengus (alewife), 
2,199201,9201,1650,2,42,10,1.99201e+17,33,0,1.0,0.1,Alosa pseudoharengus (alewife), 
3,199201,9201,1690,5,44,10,1.99201e+17,33,0,3.0,0.9,Alosa pseudoharengus (alewife), 
4,199201,9201,1690,1,45,10,1.99201e+17,33,0,2.0,0.5,Alosa pseudoharengus (alewife), 
5,199201,9201,1690,9,47,10,1.99201e+17,33,0,1.0,0.2,Alosa pseudoharengus (alewife), 
6,199201,9201,1690,3,48,10,1.99201e+17,33,0,1.0,0.2,Alosa pseudoharengus (alewife), 
7,199201,9201,1730,2,50,10,1.99201e+17,33,0,5.0,1.1,Alosa pseudoharengus (alewife), 
8,199201,9201,1730,4,52,10,1.99201e+17,33,0,3.0,0.9,Alosa pseudoharengus (alewife), 
9,199201,9201,1730,1,53,10,1.99201e+17,33,0,25.0,4.7,Alosa pseudoharengus (alewife), 
10,199201,9201,1010,1,54,10,1.99201e+17,33,0,1.0,0.2,Alosa pseudoharengus (alewife), 
11,199201,9201,1010,8,55,10,1.99201e+17,33,0,9.0,1.3,Alosa pseudoharengus (alewife), 
12,199201,9201,1020,5,56,10,1.99201e+17,33,0,38.0,6.2,Alosa pseudoharengus (alewife), 
13,199201,9201,1010,6,57,10,1.99201e+17,33,0,1.0,0.2,Alosa pseudoharengus (alewife), 
14,199201,9201,1010,7,59,10,1.99201e+17,33,0,3.0,0.5,Alosa pseudoharengus (alewife), 
15,199201,9201,1020,4,60,10,1.99201e+17,33,0,22.0,3.9,Alosa pseudoharengus (alewife), 
16,199201,9201,1020,7,62,10,1.99201e+17,33,0,4.0,0.3,Alosa pseudoharengus (alewife), 
17,199201,9201,1020,2,63,10,1.99201e+17,33,0,54.0,6.6,Alosa pseudoharengus (alewife), 
18,199201,9201,1050,1,64,10,1.99201e+17,33,0,1.0,0.1,Alosa pseudoharengus (alewife), 
19,199201,9201,1050,5,66,10,1.99201e+17,33,0,2.0,0.0,Alosa pseudoharengus (alewife), 
20,199201,9201,1060,3,68,10,1.99201e+17,33,0,6.0,0.6,Alosa pseudoharengus (alewife), 
21,199201,9201,1060,2,69,10,1.99201e+17,33,0,52.0,2.9,Alosa pseudoharengus (alewife), 
